,Levels,POS,T_IDX,Trigram,Word,Words,Visemes,Trigram_Visemes
0,"{'A1': ['A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'C1': ['A1']}",ADJ,1.0,"['DET', 'ADJ', 'NOUN']",new,"{'air': ['the', 'an'], 'features': ['that', 'the', 'this'], 'brand': ['a', 'the', 'their'], 'heritage': ['the']}","['t', 'u']","{""['e', 'r']"": [['th', 'e'], ['e', 't']], ""['f', 'i', 's', 'r', 's']"": [['th', 'e', 't'], ['th', 'e'], ['th', 'e', 's']], ""['b', 'r', 'e', 't', 't']"": [['e'], ['th', 'e'], ['th', 'e', 'r']], ""['e', 'e', 'r', 'e', 't', 'e', 's']"": [['th', 'e']]}"
1,"{'A1': ['A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'C1': ['A1']}",ADJ,1.0,"['DET', 'ADJ', 'NOUN']",new,"{'air': ['the', 'an'], 'features': ['that', 'the', 'this'], 'brand': ['a', 'the', 'their'], 'heritage': ['the']}","['t', 'u']","{""['e', 'r']"": [['th', 'e'], ['e', 't']], ""['f', 'i', 's', 'r', 's']"": [['th', 'e', 't'], ['th', 'e'], ['th', 'e', 's']], ""['b', 'r', 'e', 't', 't']"": [['e'], ['th', 'e'], ['th', 'e', 'r']], ""['e', 'e', 'r', 'e', 't', 'e', 's']"": [['th', 'e']]}"
2,"{'A1': ['A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'C1': ['A1']}",ADJ,1.0,"['DET', 'ADJ', 'NOUN']",new,"{'air': ['the', 'an'], 'features': ['that', 'the', 'this'], 'brand': ['a', 'the', 'their'], 'heritage': ['the']}","['t', 'u']","{""['e', 'r']"": [['th', 'e'], ['e', 't']], ""['f', 'i', 's', 'r', 's']"": [['th', 'e', 't'], ['th', 'e'], ['th', 'e', 's']], ""['b', 'r', 'e', 't', 't']"": [['e'], ['th', 'e'], ['th', 'e', 'r']], ""['e', 'e', 'r', 'e', 't', 'e', 's']"": [['th', 'e']]}"
3,"{'A1': ['A1'], 'B1': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",will,"{'also': ['it'], 'therefore': ['it']}","['w', 'e', 'l']","{""['e', 'l', 's', 'e']"": [['e', 't']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't']]}"
4,"{'A1': ['A1'], 'B1': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",will,"{'also': ['it'], 'therefore': ['it']}","['w', 'e', 'l']","{""['e', 'l', 's', 'e']"": [['e', 't']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't']]}"
5,"{'A1': ['A1'], 'B1': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",will,"{'also': ['it'], 'therefore': ['it']}","['w', 'e', 'l']","{""['e', 'l', 's', 'e']"": [['e', 't']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't']]}"
6,"{'A1': ['A1'], 'B1': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",will,"{'also': ['it'], 'therefore': ['it']}","['w', 'e', 'l']","{""['e', 'l', 's', 'e']"": [['e', 't']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't']]}"
7,"{'A1': ['A1'], 'B1': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",will,"{'also': ['it'], 'therefore': ['it']}","['w', 'e', 'l']","{""['e', 'l', 's', 'e']"": [['e', 't']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't']]}"
8,"{'A1': ['A1', 'A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'B2': ['A1', 'A1', 'A1'], 'C1': ['A1', 'A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",home,"{'new': ['a', 'the', 'their'], 'own': ['their', 'his', 'my'], 'historic': ['a', 'an', 'the'], 'current': ['the', 'its', 'their'], 'colonial': ['the', 'a']}","['e', 'e', 'b']","{""['t', 'u']"": [['e'], ['th', 'e'], ['th', 'e', 'r']], ""['e', 't']"": [['th', 'e', 'r'], ['e', 'e', 's'], ['b', 'e']], ""['e', 'e', 's', 't', 'e', 'r', 'e', 'k']"": [['e'], ['e', 't'], ['th', 'e']], ""['k', 'r', 'e', 't', 't']"": [['th', 'e'], ['e', 't', 's'], ['th', 'e', 'r']], ""['k', 'e', 'l', 'e', 't', 'i', 'e', 'l']"": [['th', 'e'], ['e']]}"
9,"{'A1': ['A1', 'A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'B2': ['A1', 'A1', 'A1'], 'C1': ['A1', 'A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",home,"{'new': ['a', 'the', 'their'], 'own': ['their', 'his', 'my'], 'historic': ['a', 'an', 'the'], 'current': ['the', 'its', 'their'], 'colonial': ['the', 'a']}","['e', 'e', 'b']","{""['t', 'u']"": [['e'], ['th', 'e'], ['th', 'e', 'r']], ""['e', 't']"": [['th', 'e', 'r'], ['e', 'e', 's'], ['b', 'e']], ""['e', 'e', 's', 't', 'e', 'r', 'e', 'k']"": [['e'], ['e', 't'], ['th', 'e']], ""['k', 'r', 'e', 't', 't']"": [['th', 'e'], ['e', 't', 's'], ['th', 'e', 'r']], ""['k', 'e', 'l', 'e', 't', 'i', 'e', 'l']"": [['th', 'e'], ['e']]}"
